Time,Moisture,Light,Temp
1/1/1970-0:4:1,1023,532,145
1/1/1970-0:4:7,1023,500,145
1/1/1970-0:4:13,1023,516,144
1/1/1970-0:4:19,1023,556,145
1/1/1970-0:4:25,1023,534,145
1/1/1970-0:4:31,1023,548,145
1/1/1970-0:4:37,1023,579,144
1/1/1970-0:4:43,1023,545,145
1/1/1970-0:4:49,1023,545,144
1/1/1970-0:4:55,1023,559,144
1/1/1970-0:5:1,1023,555,145
1/1/1970-0:5:7,1023,513,145
1/1/1970-0:5:13,1023,583,144
1/1/1970-0:5:19,1023,518,144
1/1/1970-0:5:25,1023,491,145
1/1/1970-0:5:31,1023,588,145
1/1/1970-0:5:37,1023,585,144
1/1/1970-0:5:43,1023,641,144
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1017,511,147
1/1/1970-0:0:6,1023,500,145
1/1/1970-0:0:12,1023,550,144
1/1/1970-0:0:18,1023,547,144
1/1/1970-0:0:24,1023,545,144
1/1/1970-0:0:30,1023,505,145
1/1/1970-0:0:36,1023,521,147
1/1/1970-0:0:42,1023,506,145
1/1/1970-0:0:48,1023,521,145
1/1/1970-0:0:54,1023,511,145
1/1/1970-0:1:0,1023,510,145
1/1/1970-0:1:6,1023,508,145
1/1/1970-0:1:12,1023,509,145
1/1/1970-0:1:18,1023,515,145
1/1/1970-0:1:24,1023,527,144
1/1/1970-0:1:30,1023,521,145
1/1/1970-0:1:36,1023,520,145
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1018,525,145
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1018,521,146
1/1/1970-0:0:6,1023,520,145
1/1/1970-0:0:12,1023,830,145
1/1/1970-0:0:18,1023,498,146
1/1/1970-0:0:24,1023,491,146
1/1/1970-0:0:30,1023,489,145
1/1/1970-0:0:36,1023,495,145
1/1/1970-0:0:42,1023,491,145
1/1/1970-0:0:48,1023,485,145
1/1/1970-0:0:54,1023,484,145
1/1/1970-0:1:0,1023,486,146
1/1/1970-0:1:6,1023,498,145
1/1/1970-0:1:12,1023,494,145
1/1/1970-0:1:18,1023,487,146
1/1/1970-0:1:24,1023,495,146
1/1/1970-0:1:30,1023,504,145
1/1/1970-0:1:36,1023,494,145
1/1/1970-0:1:42,1023,487,145
1/1/1970-0:1:48,1023,498,145
1/1/1970-0:1:54,1023,503,145
1/1/1970-0:2:0,1023,488,145
1/1/1970-0:2:6,1023,495,145
1/1/1970-0:2:12,1023,500,145
1/1/1970-0:2:18,1023,492,145
1/1/1970-0:2:24,1023,502,145
1/1/1970-0:2:30,1023,488,145
1/1/1970-0:2:36,1023,499,145
1/1/1970-0:2:42,1023,505,145
1/1/1970-0:2:48,1023,504,145
1/1/1970-0:2:54,1023,497,145
1/1/1970-0:3:0,1023,489,146
1/1/1970-0:3:6,1023,500,146
1/1/1970-0:3:12,1023,501,146
1/1/1970-0:3:18,1023,489,146
1/1/1970-0:3:24,1023,488,146
1/1/1970-0:3:31,1023,493,145
1/1/1970-0:3:37,1023,501,145
